Frame: 42,Class: car, Class ID: 2, Tracker ID: 4, Confidence: 0.88
Frame: 42,Class: car, Class ID: 2, Tracker ID: 2, Confidence: 0.85
Frame: 42,Class: car, Class ID: 2, Tracker ID: 7, Confidence: 0.61
Frame: 42,Class: truck, Class ID: 7, Tracker ID: 9, Confidence: 0.35
Frame: 43,Class: truck, Class ID: 7, Tracker ID: 1, Confidence: 0.95
Frame: 43,Class: car, Class ID: 2, Tracker ID: 10, Confidence: 0.92
Frame: 43,Class: car, Class ID: 2, Tracker ID: 3, Confidence: 0.90
Frame: 43,Class: car, Class ID: 2, Tracker ID: 4, Confidence: 0.90
Frame: 43,Class: car, Class ID: 2, Tracker ID: 2, Confidence: 0.85
Frame: 43,Class: car, Class ID: 2, Tracker ID: 7, Confidence: 0.46
Frame: 43,Class: truck, Class ID: 7, Tracker ID: 9, Confidence: 0.34
Frame: 44,Class: truck, Class ID: 7, Tracker ID: 1, Confidence: 0.94
Frame: 44,Class: car, Class ID: 2, Tracker ID: 10, Confidence: 0.91
Frame: 44,Class: car, Class ID: 2, Tracker ID: 4, Confidence: 0.90
Frame: 44,Class: car, Class ID: 2, Tracker ID: 3, Confidence: 0.89
Frame: 44,Class: car, Class ID: 2, Tracker ID: 2, Confidence: 0.85
Frame: 44,Class: truck, Class ID: 7, Tracker ID: 9, Confidence: 0.38
Frame: 44,Class: car, Class ID: 2, Tracker ID: 7, Confidence: 0.30
Frame: 45,Class: truck, Class ID: 7, Tracker ID: 1, Confidence: 0.94
Frame: 45,Class: car, Class ID: 2, Tracker ID: 10, Confidence: 0.92
Frame: 45,Class: car, Class ID: 2, Tracker ID: 3, Confidence: 0.91
Frame: 45,Class: car, Class ID: 2, Tracker ID: 4, Confidence: 0.90
Frame: 45,Class: car, Class ID: 2, Tracker ID: 2, Confidence: 0.86
Frame: 45,Class: truck, Class ID: 7, Tracker ID: 9, Confidence: 0.43
Frame: 45,Class: car, Class ID: 2, Tracker ID: 7, Confidence: 0.36
Frame: 46,Class: truck, Class ID: 7, Tracker ID: 1, Confidence: 0.94
Frame: 46,Class: car, Class ID: 2, Tracker ID: 10, Confidence: 0.91
Frame: 46,Class: car, Class ID: 2, Tracker ID: 4, Confidence: 0.91
Frame: 46,Class: car, Class ID: 2, Tracker ID: 3, Confidence: 0.90
Frame: 46,Class: car, Class ID: 2, Tracker ID: 2, Confidence: 0.87
Frame: 46,Class: car, Class ID: 2, Tracker ID: 7, Confidence: 0.71
Frame: 46,Class: truck, Class ID: 7, Tracker ID: 9, Confidence: 0.44
Frame: 47,Class: truck, Class ID: 7, Tracker ID: 1, Confidence: 0.95
Frame: 47,Class: car, Class ID: 2, Tracker ID: 3, Confidence: 0.92
Frame: 47,Class: car, Class ID: 2, Tracker ID: 10, Confidence: 0.91
Frame: 47,Class: car, Class ID: 2, Tracker ID: 4, Confidence: 0.88
Frame: 47,Class: car, Class ID: 2, Tracker ID: 2, Confidence: 0.87
Frame: 47,Class: car, Class ID: 2, Tracker ID: 7, Confidence: 0.72
Frame: 47,Class: truck, Class ID: 7, Tracker ID: 9, Confidence: 0.42
Frame: 48,Class: truck, Class ID: 7, Tracker ID: 1, Confidence: 0.95
Frame: 48,Class: car, Class ID: 2, Tracker ID: 3, Confidence: 0.91
Frame: 48,Class: car, Class ID: 2, Tracker ID: 4, Confidence: 0.90
Frame: 48,Class: car, Class ID: 2, Tracker ID: 10, Confidence: 0.90
Frame: 48,Class: car, Class ID: 2, Tracker ID: 2, Confidence: 0.85
Frame: 48,Class: car, Class ID: 2, Tracker ID: 7, Confidence: 0.67
Frame: 48,Class: truck, Class ID: 7, Tracker ID: 9, Confidence: 0.39
Frame: 49,Class: truck, Class ID: 7, Tracker ID: 1, Confidence: 0.95
Frame: 49,Class: car, Class ID: 2, Tracker ID: 3, Confidence: 0.91
Frame: 49,Class: car, Class ID: 2, Tracker ID: 10, Confidence: 0.90
Frame: 49,Class: car, Class ID: 2, Tracker ID: 4, Confidence: 0.90
Frame: 49,Class: car, Class ID: 2, Tracker ID: 2, Confidence: 0.75
